epoch,acc,loss,lr,val_acc,val_loss
0,0.9195333333651224,0.2629928635676702,1.0,0.9823,0.055040366245806216
1,0.9736499999682109,0.08829492481946945,1.0,0.985,0.04324546684231609
2,0.9803833333651225,0.06576797972122828,1.0,0.9868,0.037097836140869186
3,0.9831999999682108,0.05641193614900112,1.0,0.9901,0.02910560011155903
4,0.9853000000317892,0.04720231690357129,1.0,0.9898,0.028925802785251288
5,0.9876166666666667,0.040186415382723016,1.0,0.9898,0.030495892330573406
6,0.9879833333333333,0.038087239510317644,1.0,0.9911,0.0297989757059142
7,0.9897666666666667,0.03342456048081319,1.0,0.9915,0.02558398158014752
8,0.9905499999682108,0.032000102193156875,1.0,0.991,0.02526985868923948
9,0.9915333333015441,0.028853200539946555,1.0,0.9915,0.02635118921410758
10,0.99185,0.026745752712587514,1.0,0.992,0.02399758626446128
11,0.9923166666666666,0.02377446080346902,1.0,0.9921,0.026527899505734785
